StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Consent,IDs_1,IDs_2,Gender,Gender_5_TEXT,Trans,Sex,Age_0,Race/Ethnicity,Race/Ethnicity_11_TEXT,Education,Student,Employed,Income,Sexual Orientation,Sexual Orientation_7_TEXT,Cohab,Relationship Length_1,Relationship Length_2,Relationship Status,Rel_Sat_1,Rel_Sat_2,Rel_Sat_3,Rel_Sat_4,Rel_Sat_5,Rel_Sat_DO,Rel_Com_1,Rel_Com_2,Rel_Com_3,Rel_Com_4,Rel_Com_5,Rel_Com_6,Rel_Com_7,Rel_Com_DO,FFMQ_1,FFMQ_2,FFMQ_3,FFMQ_4,FFMQ_5,FFMQ_6,FFMQ_7,FFMQ_8,FFMQ_9,FFMQ_10,FFMQ_11,FFMQ_12,FFMQ_13,FFMQ_14,FFMQ_15,FFMQ_DO,ConflictTop_1,ConflictTop_2,ConflictTop_3,SupportTop_1,SupportTop_2,SupportTop_3,IOS_Base,PRQC_Base_1,Attach_1,Attach_2,Attach_3,Attach_4,Attach_5,Attach_6,Attach_7,Attach_8,Attach_9,Attach_DO,FL_5_DO
10/22/2022 12:11,10/22/2022 12:27,0,92.237.236.24,100,993,1,10/22/2022 12:27,R_1rANbZ1o7Gtu26x,,,,,55.886,-3.3363,anonymous,EN,1,2014,1027,2,,2,1,18,1,,2,2,2,1,5,,2,0,5,2,7,7,6,7,7,4|1|5|2|3,7,7,1,2,7,6,7,5|1|6|7|2|4|3,4,5,3,4,3,4,2,4,5,3,4,4,3,4,3,15|14|1|13|12|10|5|9|8|7|2|11|3|6|4,My current academic status and whether i should continue with uni (gap year as I didn't pass first year),How we should spend our few evenings together (and whether we should go out),Whether we eat together (as he tends to eat more than me and this impacts the meals we cook together),Academic success,Fitness,Improving in hobbies,5,6,5,6,6,3,3,6,6,5,6,Attach_4|Attach_1|Attach_6|Attach_9|Attach_5|Attach_3|Attach_8|Attach_7|Attach_2,"++Commitment,SubscaleofInvestmentModel(Rusbultetal.1998)|++IOSClosenessAronetal.,1992|Support--DiscussionTopics(Biersteteletal.,2020)|++RelationshipSatisfaction,SubscaleofInvestmentModel(Rusbultetal.1998)|++Global/GeneralAttachmentFraleyetal.,2011and2014|++PRQCFletcheretal.,2000|++MindfulnessFFMQ(Baeretal.,2012)|Conflict--DiscussionTopics(Biersteteletal.,2020)"
10/22/2022 12:11,10/22/2022 12:32,0,92.237.236.24,100,1282,1,10/22/2022 12:32,R_2QtiSMP9mYAxN2u,,,,,55.886,-3.3363,anonymous,EN,1,2014,1028,1,,2,2,20,1,,2,2,2,1,1,,2,0,5,2,7,7,7,7,7,4|1|3|2|5,7,7,1,1,7,6,7,1|3|5|2|4|7|6,5,3,5,3,4,4,3,4,1,4,5,2,4,2,4,10|1|5|15|4|12|9|6|2|11|7|3|8|14|13,Sometimes we take a while to get out of bed in the mornings when I'd like to get on with the day.,I don't portion very well for myself so I'm not hungry for when we have meals together.,While sleeping she will rotate the duvet so when we wake up I won't have very much duvet.,Getting better conversation skills with strangers/ acquaintances.,Take more trips and do exciting things. E.g skydiving and travelling ,Practicing piano and saxophone more.,5,7,6,7,7,5,5,1,3,3,3,Attach_7|Attach_2|Attach_6|Attach_3|Attach_1|Attach_5|Attach_9|Attach_8|Attach_4,"++RelationshipSatisfaction,SubscaleofInvestmentModel(Rusbultetal.1998)|++MindfulnessFFMQ(Baeretal.,2012)|++Commitment,SubscaleofInvestmentModel(Rusbultetal.1998)|Support--DiscussionTopics(Biersteteletal.,2020)|Conflict--DiscussionTopics(Biersteteletal.,2020)|++Global/GeneralAttachmentFraleyetal.,2011and2014|++PRQCFletcheretal.,2000|++IOSClosenessAronetal.,1992"
10/27/2022 9:36,10/27/2022 10:11,0,217.44.207.61,100,2101,1,10/27/2022 10:11,R_1mgBSJzxaonwGKF,,,,,55.9335,-3.254,anonymous,EN,1,2017,1034,1,,2,2,20,1,,2,2,2,5,1,,1,0,4,2,6,1,6,7,7,2|1|3|4|5,7,7,1,1,7,6,7,2|1|3|4|7|5|6,1,3,4,2,5,3,4,3,1,4,2,3,4,3,3,4|9|2|12|13|3|5|15|6|1|8|14|10|7|11,"I can be curt and dismissive on occasion. Mostly when I am tired, or sometimes I say things sarcastically or as a joke but Maia misinterprets this but then doesn't communicate that she thought I was being rude, resulting in conflict or disagreement further down the line. Sometimes Maia will tell me something she is very excited or happy about and I won't immediately share that emotion in the moment, which upsets her and even me.","I don't always communicate plans well with people, and sometimes spring things on Maia last minute which annoys her.","I am slow and relaxed when doing things even when in a hurry and this annoys Maia, who is very quick and efficient at doing things in a rush. ",Expressing and communicating my thoughts and emotions more clearly to Maia.,My temperament during an argument with Maia or with anyone in general.,Being as open-minded as possible to new ideas and experiences. ,5,7,7,6,7,4,2,3,1,4,5,Attach_9|Attach_5|Attach_4|Attach_1|Attach_8|Attach_3|Attach_2|Attach_7|Attach_6,"Conflict--DiscussionTopics(Biersteteletal.,2020)|++Global/GeneralAttachmentFraleyetal.,2011and2014|++PRQCFletcheretal.,2000|++RelationshipSatisfaction,SubscaleofInvestmentModel(Rusbultetal.1998)|++IOSClosenessAronetal.,1992|++MindfulnessFFMQ(Baeretal.,2012)|++Commitment,SubscaleofInvestmentModel(Rusbultetal.1998)|Support--DiscussionTopics(Biersteteletal.,2020)"
10/27/2022 11:35,10/27/2022 12:05,0,192.41.125.255,100,1816,1,10/27/2022 12:05,R_27I0Vc3YRmsJC0d,,,,,51.4964,-0.1224,anonymous,EN,1,2040,1080,1,,2,2,23,1,,4,2,1,1,1,,1,4,1,2,5,5,5,6,6,2|3|1|4|5,6,7,2,2,6,6,7,7|2|3|1|6|4|5,3,4,4,4,2,2,2,2,3,4,3,3,3,3,2,10|11|7|8|14|13|3|15|9|2|4|6|1|12|5,If men and women can be just close friends ,How much time it is OK to spend apart. I find that I am often more comfortable spending a few weeks in different cities,"Doing things together on days off. I often feel like I don't need to go out or drive somewhere to do an activity on the weekends but she does

Honestly, my partner and I don't have any very strong disagreements. Many of our differences come from the cultures we grew up in, but we have grown though our relationship and grown more close together to where we disagree quite seldom",My career ,My programming/raspberry pi skills,My climbing and muscle mass,6,6,7,6,6,5,3,4,5,5,6,Attach_2|Attach_1|Attach_9|Attach_5|Attach_4|Attach_3|Attach_6|Attach_7|Attach_8,"Support--DiscussionTopics(Biersteteletal.,2020)|++IOSClosenessAronetal.,1992|++MindfulnessFFMQ(Baeretal.,2012)|++RelationshipSatisfaction,SubscaleofInvestmentModel(Rusbultetal.1998)|++Commitment,SubscaleofInvestmentModel(Rusbultetal.1998)|++Global/GeneralAttachmentFraleyetal.,2011and2014|++PRQCFletcheretal.,2000|Conflict--DiscussionTopics(Biersteteletal.,2020)"
10/27/2022 13:46,10/27/2022 14:32,0,62.254.70.217,100,2714,1,10/27/2022 14:32,R_YWzrBgCRnKBRNU5,,,,,51.5597,-0.0528,anonymous,EN,1,2020,1039,3,,2,1,19,1,,2,2,1,1,5,,1,0,3,2,7,6,7,7,7,2|1|3|4|5,7,7,1,1,6,7,6,1|6|7|5|2|4|3,4,3,4,4,3,3,5,2,2,2,5,4,3,4,3,4|12|2|9|15|10|8|6|11|13|1|5|14|3|7,"He does so much for me and I feel like I need to make this up to him (not because of pressure from him, but because of past experiences)","Getting anxious in his space (and subsequently spending a lot more time in my flat, or more so with my friend group)",Learning to manage time (knowing when not to see each other because we have other work),I’d like to feel more confident in my appearance.,I’d love to develop my friendships with other people further; I often feel like I lack an established friend group.,I’d like to become a less anxious person.,4,6,6,5,6,3,5,6,7,7,7,Attach_2|Attach_3|Attach_4|Attach_6|Attach_5|Attach_1|Attach_8|Attach_9|Attach_7,"++PRQCFletcheretal.,2000|Conflict--DiscussionTopics(Biersteteletal.,2020)|++RelationshipSatisfaction,SubscaleofInvestmentModel(Rusbultetal.1998)|Support--DiscussionTopics(Biersteteletal.,2020)|++MindfulnessFFMQ(Baeretal.,2012)|++Commitment,SubscaleofInvestmentModel(Rusbultetal.1998)|++Global/GeneralAttachmentFraleyetal.,2011and2014|++IOSClosenessAronetal.,1992"
10/27/2022 19:01,10/27/2022 19:22,0,192.41.114.229,100,1233,1,10/27/2022 19:22,R_ABBRft91MpvJjyh,,,,,51.4964,-0.1224,anonymous,EN,1,2048,1095,2,,2,1,22,1,,2,2,2,1,5,,1,0,6,2,6,6,6,7,6,1|3|2|4|5,6,6,1,4,6,5,5,1|4|3|6|7|5|2,2,2,4,4,2,2,5,4,3,2,3,1,5,3,3,5|13|10|9|1|14|12|8|3|7|11|4|6|2|15,Him often being late. I have a very busy schedule and we often argue about that with no conclusion.,"His career, I feel like for me to be perfect he needs to be perfect, and I tend to be mean about the fact that I have everything sorted out and he does not.","His ignorance, about misogyny, homophobia, etc. I feel like he should care more about these topics. He sometimes makes very ignorant comments, and we end up arguing. ","Communication, being able to speak about my feelings without breaking down.","My perfectionism, I would like to not care what other people think as much, especially when it comes to my career and the relationship. ",My sometime apathy.,2,6,5,5,5,3,3,5,2,2,6,Attach_8|Attach_2|Attach_7|Attach_5|Attach_1|Attach_4|Attach_6|Attach_9|Attach_3,"++Global/GeneralAttachmentFraleyetal.,2011and2014|++MindfulnessFFMQ(Baeretal.,2012)|++Commitment,SubscaleofInvestmentModel(Rusbultetal.1998)|++IOSClosenessAronetal.,1992|Support--DiscussionTopics(Biersteteletal.,2020)|Conflict--DiscussionTopics(Biersteteletal.,2020)|++PRQCFletcheretal.,2000|++RelationshipSatisfaction,SubscaleofInvestmentModel(Rusbultetal.1998)"
10/27/2022 21:24,10/27/2022 21:36,0,82.132.216.59,100,742,1,10/27/2022 21:36,R_1FG1FTCLttGMQWU,,,,,51.4964,-0.1224,anonymous,EN,1,2017,1033,2,,2,1,20,10,,2,2,1,5,5,,1,0,4,2,6,4,4,7,6,2|3|5|1|4,6,5,2,1,6,4,5,6|3|5|4|1|2|7,4,4,3,3,2,5,2,4,3,1,5,3,2,3,1,6|2|11|9|8|12|3|4|5|13|7|1|15|14|10,"I enjoy doing things quickly (walk quickly to get between places, cook quickly etc) whereas Murphy likes to take his time which I find frustrating but he doesn't like being rushed.","We disagree a lot on small things. I wouldn't say this is unresolved, but it is a recurring source of small conflicts. ",Can't think of more than two. ,I want to invest time in myself and forwarding my career in scientific research by getting into a competitive PhD programme.,I would like to get physically fitter and feel more confident with my body.  ,I want to develop some fun and interesting hobbies such as learn more technical aspects of cooking.,4,6,3,5,5,3,4,5,7,7,7,Attach_7|Attach_4|Attach_3|Attach_8|Attach_5|Attach_1|Attach_9|Attach_2|Attach_6,"++PRQCFletcheretal.,2000|Conflict--DiscussionTopics(Biersteteletal.,2020)|++Commitment,SubscaleofInvestmentModel(Rusbultetal.1998)|Support--DiscussionTopics(Biersteteletal.,2020)|++MindfulnessFFMQ(Baeretal.,2012)|++IOSClosenessAronetal.,1992|++Global/GeneralAttachmentFraleyetal.,2011and2014|++RelationshipSatisfaction,SubscaleofInvestmentModel(Rusbultetal.1998)"
10/28/2022 11:54,10/28/2022 12:12,0,188.74.90.229,100,1096,1,10/28/2022 12:12,R_5mvtnCHcMUAEeu5,,,,,51.4036,-0.7618,anonymous,EN,1,2035,1070,1,,2,2,38,1,,4,1,3,5,1,,2,6,11,2,6,5,5,5,6,2|4|5|3|1,6,7,2,1,5,5,7,3|6|4|5|2|7|1,2,3,4,1,3,4,2,3,3,3,3,3,4,2,3,9|6|4|7|13|5|10|15|12|14|11|8|1|3|2,Separating Keith's attention to his work,Finding a more permanent place to live,Subtle but pervasing annoyances/triggers that we have,Healthier relationship with work (what/when),Making time/energy to pursue other goals,Being more selfless,5,5,6,4,5,3,4,5,3,2,3,Attach_2|Attach_9|Attach_8|Attach_7|Attach_1|Attach_3|Attach_4|Attach_5|Attach_6,"++MindfulnessFFMQ(Baeretal.,2012)|Support--DiscussionTopics(Biersteteletal.,2020)|++Global/GeneralAttachmentFraleyetal.,2011and2014|++PRQCFletcheretal.,2000|++IOSClosenessAronetal.,1992|++Commitment,SubscaleofInvestmentModel(Rusbultetal.1998)|Conflict--DiscussionTopics(Biersteteletal.,2020)|++RelationshipSatisfaction,SubscaleofInvestmentModel(Rusbultetal.1998)"
10/28/2022 12:54,10/28/2022 13:15,0,82.44.242.40,100,1239,1,10/28/2022 13:15,R_3e9LQWcKhDRBaO4,,,,,55.9062,-3.1305,anonymous,EN,1,2030,1059,2,,2,1,23,1,,5,1,2,4,5,,1,0,4,2,7,5,7,7,7,5|3|1|4|2,7,7,2,1,5,6,6,6|1|2|3|5|4|7,3,4,3,1,3,3,2,2,1,2,4,3,2,2,2,13|3|1|5|10|12|11|2|15|9|7|8|14|4|6,Having children/a family when we get older,How often and how much consumption of alcohol is okay,How much talking about past relationships is okay,I want to be more self-disciplined and motivated when it comes to all arenas of life,Eat more healthy,Improve my relationship with my family,4,6,6,6,6,3,3,5,3,6,6,Attach_1|Attach_6|Attach_5|Attach_7|Attach_2|Attach_8|Attach_3|Attach_9|Attach_4,"++Global/GeneralAttachmentFraleyetal.,2011and2014|Conflict--DiscussionTopics(Biersteteletal.,2020)|++PRQCFletcheretal.,2000|Support--DiscussionTopics(Biersteteletal.,2020)|++RelationshipSatisfaction,SubscaleofInvestmentModel(Rusbultetal.1998)|++IOSClosenessAronetal.,1992|++Commitment,SubscaleofInvestmentModel(Rusbultetal.1998)|++MindfulnessFFMQ(Baeretal.,2012)"
10/28/2022 13:04,10/28/2022 13:32,0,92.238.87.195,100,1686,1,10/28/2022 13:32,R_21FIo8OelyGRUzH,,,,,55.9552,-3.2,anonymous,EN,1,2030,1060,1,,2,2,22,1,,2,2,1,1,1,,1,0,4,2,6,6,6,6,7,2|1|3|4|5,7,7,2,2,3,7,7,5|4|6|7|3|2|1,1,3,3,2,3,2,3,2,2,4,3,3,3,3,3,14|15|4|2|7|5|1|3|13|9|8|12|10|11|6,Astrology,Tattoos,Future,Routine of healthy habits ,Academic performance,Get closer with my family,2,6,4,6,5,5,4,5,3,2,3,Attach_2|Attach_7|Attach_3|Attach_6|Attach_1|Attach_4|Attach_9|Attach_5|Attach_8,"++Global/GeneralAttachmentFraleyetal.,2011and2014|++IOSClosenessAronetal.,1992|++PRQCFletcheretal.,2000|++Commitment,SubscaleofInvestmentModel(Rusbultetal.1998)|Conflict--DiscussionTopics(Biersteteletal.,2020)|++RelationshipSatisfaction,SubscaleofInvestmentModel(Rusbultetal.1998)|++MindfulnessFFMQ(Baeretal.,2012)|Support--DiscussionTopics(Biersteteletal.,2020)"
