StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Consent_1,Consent_2,Consent_3,Consent_4,Consent_5,Consent_6,Consent_7,IDs_1,IDs_2,KM_Timer_First Click,KM_Timer_Last Click,KM_Timer_Page Submit,KM_Timer_Click Count,KM_P_1,KM_P_2,KM_P_3,KM_P_10,KM_P_4,KM_P_5,KM_P_6,KM_P_7,KM_P_8,KM_P_9,KM_P_11,KM_P_12,KM_P_DO,KM_CSR_1,KM_CSR_2,KM_CSR_3,KM_CSR_4,KM_CSR_DO,KM_P_1,KM_P_2,KM_P_3,KM_P_4,KM_P_DO,KM_PA_1,KM_L_1,KM_L_2,KM_L_3,KM_L_DO,PPI_5,PPI_7,PPI_8,PPRM_DO,IOS_Pre,SEP_Pre_1,SEP_Pre_2,SEP_Pre_3,SEP_Pre_DO,AttCheck,AttCheck_DO,PrevExp,FL_6_DO,"++KAMMUSTwoZickfeldetal.,2019_DO"
10/31/2022 17:00,10/31/2022 17:07,0,129.215.52.167,100,410,1,10/31/2022 17:07,R_1gBIgHnYVZtzH0T,,,,,55.9489,-3.1632,anonymous,EN,1,1,1,1,1,1,1,2035,1069,0,0,181.641,0,2,2,1,1,6,5,1,3,1,3,4,1,KM_P_2|KM_P_6|KM_P_7|KM_P_8|KM_P_9|KM_P_3|KM_P_12|KM_P_5|KM_P_11|KM_P_4|KM_P_10|KM_P_1,5,5,5,6,2|3|1|4,5,5,6,4,1|4|3|2,5,7,7,7,2|1|3,,,,,,,,,,3,5|3|4|2|9|7|6,1,,KM_CSR|KM_P|KM_L|KM_P|KM_PA
10/31/2022 17:00,10/31/2022 17:09,0,129.215.52.229,100,529,1,10/31/2022 17:09,R_1erdaajgUXuEXRV,,,,,55.9489,-3.1632,anonymous,EN,1,1,1,1,1,1,1,2035,1070,0,0,181.844,0,2,1,1,1,1,1,1,4,1,5,1,2,KM_P_1|KM_P_4|KM_P_11|KM_P_7|KM_P_8|KM_P_6|KM_P_9|KM_P_10|KM_P_5|KM_P_3|KM_P_2|KM_P_12,2,2,3,2,2|4|3|1,2,2,4,3,4|1|3|2,4,6,4,5,3|1|2,,,,,,,,,,3,7|5|2|4|9|3|6,2,,KM_P|KM_PA|KM_P|KM_CSR|KM_L
11/2/2022 11:05,11/2/2022 11:11,0,129.215.52.167,100,374,1,11/2/2022 11:11,R_12nmTFNWptWcFOM,,,,,55.9489,-3.1632,anonymous,EN,1,1,1,1,1,1,1,2031,1061,0,0,183.741,0,2,1,1,1,4,3,1,3,1,4,4,3,KM_P_9|KM_P_7|KM_P_1|KM_P_12|KM_P_3|KM_P_10|KM_P_4|KM_P_11|KM_P_6|KM_P_5|KM_P_2|KM_P_8,5,4,4,6,1|4|3|2,3,3,4,3,2|4|1|3,6,7,6,5,1|2|3,,,,,,,,,,3,4|3|2|9|5|7|6,1,,KM_CSR|KM_L|KM_P|KM_PA|KM_P
11/2/2022 11:04,11/2/2022 11:12,0,129.215.52.229,100,428,1,11/2/2022 11:12,R_1joGZMSiEwrfN9y,,,,,55.9489,-3.1632,anonymous,EN,1,1,1,1,1,1,1,2031,1062,0,0,183.047,0,1,1,1,1,4,4,1,1,1,5,4,3,KM_P_11|KM_P_1|KM_P_3|KM_P_7|KM_P_9|KM_P_10|KM_P_2|KM_P_12|KM_P_6|KM_P_5|KM_P_4|KM_P_8,2,1,2,4,3|2|1|4,4,2,5,2,4|3|1|2,6,6,4,4,1|2|3,,,,,,,,,,3,9|5|3|2|4|7|6,1,,KM_L|KM_PA|KM_P|KM_CSR|KM_P
11/2/2022 16:58,11/2/2022 17:05,0,129.215.52.229,100,441,1,11/2/2022 17:05,R_1DROw0vfNpWXe27,,,,,55.9489,-3.1632,anonymous,EN,1,1,1,1,1,1,1,1114,2057,0,0,182.614,0,6,3,1,1,1,6,5,6,1,1,1,1,KM_P_10|KM_P_3|KM_P_2|KM_P_12|KM_P_9|KM_P_6|KM_P_4|KM_P_5|KM_P_11|KM_P_1|KM_P_7|KM_P_8,6,2,1,7,3|2|4|1,5,1,5,2,2|1|3|4,4,5,2,5,1|2|3,,,,,,,,,,3,2|9|4|5|7|3|6,2,,KM_P|KM_CSR|KM_P|KM_L|KM_PA
11/2/2022 16:58,11/2/2022 17:06,0,129.215.52.167,100,444,1,11/2/2022 17:06,R_1dykaG1qyK5kEDk,,,,,55.9489,-3.1632,anonymous,EN,1,1,1,1,1,1,1,2057,1113,0,0,185.031,0,1,1,1,4,1,2,1,1,1,1,1,1,KM_P_6|KM_P_2|KM_P_4|KM_P_10|KM_P_3|KM_P_1|KM_P_5|KM_P_7|KM_P_9|KM_P_8|KM_P_11|KM_P_12,3,3,5,4,1|2|3|4,1,2,5,1,2|3|1|4,3,5,5,6,1|2|3,,,,,,,,,,3,2|7|3|5|9|4|6,1,,KM_CSR|KM_L|KM_P|KM_P|KM_PA
11/9/2022 10:11,11/9/2022 10:18,0,129.215.52.167,100,418,1,11/9/2022 10:18,R_4V1ketsTcGUIWdj,,,,,55.9489,-3.1632,anonymous,EN,1,1,1,1,1,1,1,2085,1169,0,0,187.171,0,5,1,1,1,6,5,5,6,5,4,1,1,KM_P_7|KM_P_12|KM_P_4|KM_P_8|KM_P_10|KM_P_9|KM_P_2|KM_P_5|KM_P_11|KM_P_3|KM_P_6|KM_P_1,4,4,4,4,4|3|1|2,1,4,1,1,4|2|1|3,6,6,6,6,2|1|3,5,5,5,PPI_7|PPI_8|PPI_5,4,4,6,1,1|3|2,3,4|9|7|3|2|5|6,2,"IOS|SEPshortadapted Lewandowski&Ackerman,2006|PPRMotive(adaptedReisetal.,2018)",KM_PA|KM_L|KM_CSR|KM_P|KM_P
11/9/2022 10:10,11/9/2022 10:20,0,129.215.52.229,100,587,1,11/9/2022 10:20,R_2tG8YExOVx5rBry,,,,,55.9489,-3.1632,anonymous,EN,1,1,1,1,1,1,1,2085,1170,0,0,179.913,0,2,1,1,3,2,4,1,1,1,1,1,2,KM_P_3|KM_P_8|KM_P_10|KM_P_1|KM_P_5|KM_P_4|KM_P_7|KM_P_9|KM_P_2|KM_P_11|KM_P_6|KM_P_12,4,4,6,5,1|4|2|3,2,2,3,2,3|2|1|4,5,5,4,4,2|1|3,5,5,5,PPI_7|PPI_8|PPI_5,4,7,7,1,3|1|2,3,2|4|3|9|7|5|6,1,"SEPshortadapted Lewandowski&Ackerman,2006|PPRMotive(adaptedReisetal.,2018)|IOS",KM_P|KM_CSR|KM_L|KM_P|KM_PA
11/11/2022 13:50,11/11/2022 14:09,0,129.215.52.229,100,1128,1,11/11/2022 14:09,R_10BmgggxrCZumNx,,,,,55.9489,-3.1632,anonymous,EN,1,1,1,1,1,1,1,2089,1178,0,0,179.268,0,1,1,1,1,6,6,1,4,1,5,1,1,KM_P_2|KM_P_6|KM_P_1|KM_P_4|KM_P_7|KM_P_3|KM_P_12|KM_P_10|KM_P_9|KM_P_8|KM_P_5|KM_P_11,7,7,7,6,1|3|2|4,6,6,1,1,3|1|2|4,7,7,6,7,2|1|3,5,5,5,PPI_5|PPI_8|PPI_7,5,7,7,1,2|1|3,3,4|2|7|5|3|9|6,1,"IOS|SEPshortadapted Lewandowski&Ackerman,2006|PPRMotive(adaptedReisetal.,2018)",KM_PA|KM_CSR|KM_P|KM_L|KM_P
11/11/2022 13:56,11/11/2022 14:10,0,129.215.52.167,100,810,1,11/11/2022 14:10,R_2WV85yXCw7RBTa6,,,,,55.9489,-3.1632,anonymous,EN,1,1,1,1,1,1,1,2089,1177,0,0,185.735,0,7,3,1,1,4,4,1,1,1,4,3,4,KM_P_2|KM_P_9|KM_P_12|KM_P_10|KM_P_11|KM_P_7|KM_P_8|KM_P_4|KM_P_1|KM_P_3|KM_P_6|KM_P_5,4,5,6,5,3|4|1|2,4,6,5,5,2|1|4|3,5,6,7,5,3|2|1,5,5,5,PPI_8|PPI_5|PPI_7,4,7,7,1,1|3|2,3,4|5|2|7|3|9|6,1,"IOS|PPRMotive(adaptedReisetal.,2018)|SEPshortadapted Lewandowski&Ackerman,2006",KM_L|KM_PA|KM_P|KM_P|KM_CSR
